batter,sum,count,strike_rate
513,1502,1077,139.46146703806872
514,180,173,104.04624277456647
515,20,36,55.55555555555556
516,0,1,0.0
517,0,10,0.0
518,0,1,0.0
519,39,88,44.31818181818182
520,37,29,127.58620689655173
521,91,82,110.97560975609757
522,2,4,50.0
523,368,311,118.32797427652733
524,34,57,59.64912280701754
525,31,38,81.57894736842105
526,3,4,75.0
527,145,115,126.08695652173914
528,22,18,122.22222222222223
529,423,352,120.17045454545455
530,3594,2522,142.50594766058683
531,49,58,84.48275862068965
532,33,21,157.14285714285714
533,28,30,93.33333333333333
534,6,16,37.5
535,131,134,97.76119402985076
536,2,3,66.66666666666666
537,1349,1326,101.73453996983409
538,99,92,107.6086956521739
539,183,125,146.4
540,15,13,115.38461538461537
541,1,2,50.0
542,2489,1913,130.10977522216413
543,106,107,99.06542056074767
544,6,7,85.71428571428571
545,5,5,100.0
546,5536,4177,132.53531242518554
547,42,61,68.85245901639344
548,198,219,90.41095890410958
549,88,103,85.43689320388349
550,883,673,131.2035661218425
551,9,14,64.28571428571429
552,241,191,126.17801047120419
553,147,116,126.72413793103448
554,10,17,58.82352941176471
555,585,456,128.28947368421052
556,307,228,134.64912280701756
557,1243,854,145.5503512880562
558,196,171,114.61988304093566
559,293,307,95.43973941368078
560,61,57,107.01754385964912
561,1534,984,155.8943089430894
562,2495,1999,124.81240620310155
563,2334,2044,114.18786692759295
564,3880,2892,134.1632088520055
565,0,2,0.0
566,3131,2545,123.02554027504911
567,126,113,111.50442477876106
568,6,7,85.71428571428571
569,1494,1291,115.72424477149497
570,768,573,134.03141361256544
571,880,700,125.71428571428571
572,4419,3270,135.1376146788991
573,503,399,126.06516290726817
574,23,26,88.46153846153845
575,1,1,100.0
576,144,123,117.07317073170731
577,193,172,112.20930232558139
578,51,43,118.6046511627907
579,54,73,73.97260273972603
580,25,22,113.63636363636364
581,18,16,112.5
582,536,467,114.77516059957173
583,81,46,176.08695652173913
584,795,665,119.54887218045114
585,423,272,155.51470588235296
586,51,58,87.93103448275862
587,5,3,166.66666666666669
588,2,3,66.66666666666666
589,1,6,16.666666666666664
590,2,8,25.0
591,52,49,106.12244897959184
592,3216,2432,132.23684210526315
593,182,143,127.27272727272727
594,7,8,87.5
595,36,31,116.12903225806453
596,18,26,69.23076923076923
597,0,1,0.0
598,43,31,138.70967741935485
599,51,46,110.86956521739131
600,18,22,81.81818181818183
601,11,16,68.75
602,48,54,88.88888888888889
603,11,20,55.00000000000001
604,3,5,60.0
605,2,4,50.0
606,405,239,169.4560669456067
607,31,26,119.23076923076923
608,12,19,63.1578947368421
609,83,82,101.21951219512195
610,10,29,34.48275862068966
611,120,108,111.11111111111111
612,659,417,158.0335731414868
613,127,108,117.59259259259258
614,26,26,100.0
615,676,587,115.1618398637138
616,1153,1047,110.12416427889207
617,772,458,168.5589519650655
618,8,11,72.72727272727273
619,75,59,127.11864406779661
620,8,14,57.14285714285714
621,21,15,140.0
622,24,32,75.0
623,1156,830,139.27710843373492
624,0,1,0.0
625,7,15,46.666666666666664
626,300,314,95.54140127388536
627,127,105,120.95238095238095
628,208,211,98.5781990521327
629,39,19,205.26315789473685
630,23,16,143.75
631,8014,6236,128.51186658114176
632,0,1,0.0
633,2728,1833,148.82705946535734
634,1115,890,125.2808988764045
635,7,5,140.0
636,9,17,52.94117647058824
637,29,26,111.53846153846155
638,50,73,68.4931506849315
639,1326,1000,132.6
640,4,3,133.33333333333331
641,7,7,100.0
642,2,2,100.0
643,282,271,104.0590405904059
644,15,28,53.57142857142857
645,14,13,107.6923076923077
646,15,26,57.692307692307686
647,56,58,96.55172413793103
648,69,49,140.81632653061226
649,130,129,100.7751937984496
650,56,76,73.68421052631578
651,65,86,75.5813953488372
652,230,133,172.93233082706766
653,2934,2368,123.90202702702702
654,81,73,110.95890410958904
655,378,341,110.85043988269794
656,10,17,58.82352941176471
657,19,18,105.55555555555556
658,285,271,105.1660516605166
659,0,1,0.0
660,985,865,113.87283236994219
661,0,1,0.0
662,1607,1095,146.7579908675799
663,3222,2334,138.04627249357327
664,37,89,41.57303370786517
665,16,23,69.56521739130434
666,192,183,104.91803278688525
667,0,1,0.0
668,47,67,70.1492537313433
669,3,7,42.857142857142854
670,22,16,137.5
671,2754,2207,124.78477571363842
672,117,141,82.97872340425532
